,Chunk,Label
12,suddenly came upon little three legged table made solid glass nothing except tiny golden key alices first thought might belong one doors hall alas either locks large key small rate would open however second time round came upon low curtain noticed behind little door fifteen inches high tried little golden key lock great delight fitted,0
13,opened door found led small passage much larger rat hole knelt looked along passage loveliest garden ever saw longed get dark hall wander among beds bright flowers cool fountains could even get head doorway even head would go thought poor would little use without shoulders oh wish could shut like telescope think could knew begin see many way things happened lately begun think things indeed really impossible,0
14,seemed use waiting little door went back table half hoping might find another key rate book rules shutting people like time found little bottle certainly said round neck bottle paper label words drink beautifully printed large letters,0
15,well say drink wise little going hurry ill look first said see whether marked poison read several nice little histories children got burnt eaten wild beasts unpleasant things would remember simple rules friends taught red hot poker burn hold long cut finger deeply knife usually bleeds never forgotten drink much bottle marked poison almost certain sooner later,0
16,however bottle marked poison ventured taste finding nice fact sort mixed cherry pine apple roast turkey hot buttered soon finished,0
17,curious feeling said must shutting like telescope,0
18,indeed ten inches high face brightened thought right size going little door lovely garden first however waited minutes see going shrink felt little nervous might end know said going altogether like candle wonder like tried fancy flame candle like candle blown could remember ever seen thing,0
19,finding nothing happened decided going garden alas poor got door found forgotten little golden key went back table found could possibly reach could see quite plainly glass tried best climb one legs table slippery tired trying poor little thing sat cried,0
20,come theres use crying like said rather sharply leave minute generally gave good advice though seldom followed sometimes severely bring tears eyes remembered trying box ears game croquet playing curious child fond pretending two people use thought poor pretend two people theres hardly enough left make one respectable person,0
21,soon eye fell little glass box lying table opened found small cake words eat beautifully marked well ill eat said makes grow larger reach key makes grow smaller creep door either way ill get garden dont care happens,0
22,ate little bit said anxiously way way holding hand top head feel way growing quite surprised find remained size sure generally happens one eats cake got much way expecting nothing way things happen seemed quite dull stupid life go common way,0
23,set work soon finished cake,0
24,curiouser curiouser cried much surprised moment quite forgot speak good english im opening like largest telescope ever good bye feet looked feet seemed almost sight getting far oh poor little feet wonder put shoes stockings dears im sure shant able shall great deal far trouble must manage best way must kind thought perhaps wont walk way want go let see ill give new pair boots every christmas,0
25,went planning would manage must go thought funny itll seem sending presents ones feet odd directions look,0
26,alices right foot near fender alices love,0
27,oh dear nonsense im talking,0
28,head struck roof hall fact nine feet high took little golden key hurried garden door,0
29,poor much could lying one side look garden one eye get hopeless ever sat began cry,0
30,ought ashamed said great girl like might well say go crying way stop moment tell went gallons tears large pool round four inches deep reaching half hall,0
31,time heard little pattering feet distance hastily dried eyes see coming white rabbit returning dressed pair white kid gloves one hand large fan came trotting along great hurry muttering came oh duchess duchess oh wont savage ive kept waiting felt desperate ready ask help one rabbit came near began low timid voice please sir rabbit started violently dropped white kid gloves fan skurried away darkness hard could go,0
32,took fan gloves hall hot kept fanning time went talking dear dear queer everything day yesterday things went usual wonder ive changed night let think got morning almost think remember feeling little different im next question world ah thats great puzzle began thinking children knew age see could changed,0
33,im sure im said hair goes long ringlets mine doesnt go ringlets im sure cant mabel know sorts things oh knows little besides shes im oh dear puzzling ill try know things used know let see four times five twelve four times six thirteen four times seven oh dear shall never get twenty rate however table doesnt lets try london capital paris paris capital rome rome thats wrong im certain must changed mabel ill try say doth little crossed hands lap saying lessons began repeat voice sounded hoarse strange words come used,0
34,doth little crocodile shining tail pour waters nile every golden scale,0
35,cheerfully seems grin neatly spread claws welcome little fishes gently smiling jaws,0
36,im sure right words said poor eyes filled tears went must mabel shall go live poky little house next toys play oh ever many lessons learn ive made mind im mabel ill stay itll use putting heads saying come dear shall look say tell first like person ill come ill stay till im somebody else oh dear cried sudden burst tears wish would put heads tired alone,0
37,said looked hands surprised see put one rabbits little white kid gloves talking done thought must growing small got went table measure found nearly could guess two feet high going shrinking rapidly soon found cause fan holding dropped hastily time avoid shrinking away altogether,0
38,narrow escape said good deal frightened sudden change glad find still existence garden ran speed back little door alas little door shut little golden key lying glass table things worse ever thought poor child never small never declare bad,0
39,said words foot slipped another moment splash chin salt water first idea somehow fallen sea case go back railway said seaside life come general conclusion wherever go english coast find number bathing machines sea children digging sand wooden spades row houses behind railway station however soon made pool tears wept nine feet high,0
40,wish hadnt cried much said swam trying find way shall suppose drowned tears queer thing sure however everything queer day,0
41,heard something splashing pool little way swam nearer make first thought must walrus remembered small soon made mouse slipped like,0
42,would use thought speak mouse everything way think likely talk rate theres harm trying began mouse know way pool tired swimming mouse thought must right way speaking mouse never done thing remembered seen brothers latin grammar mouse mouse mouse mouse mouse mouse looked rather seemed wink one little eyes said nothing,0
43,perhaps doesnt understand english thought daresay french mouse come william conqueror knowledge history clear notion long ago anything happened began ma first sentence french lesson book mouse gave sudden leap water seemed quiver fright oh beg pardon cried hastily afraid hurt poor animals feelings quite forgot didnt like cats,0
44,like cats cried mouse shrill passionate voice would like cats,0
45,well perhaps said soothing tone dont angry yet wish could show cat dinah think youd take fancy cats could see dear quiet thing went half swam lazily pool sits purring nicely fire licking paws washing face nice soft thing nurse shes capital one catching mice oh beg pardon cried time mouse bristling felt certain must really offended wont talk youd rather,0
46,indeed cried mouse trembling end tail would talk subject family always hated cats nasty low things dont let hear name,0
47,wont indeed said great hurry change subject conversation fond dogs mouse answer went eagerly nice little dog near house like show little bright eyed terrier know oh long curly brown hair itll fetch things throw itll sit beg dinner sorts things cant remember half belongs farmer know says useful worth hundred pounds says kills rats oh dear cried sorrowful tone im afraid ive offended mouse swimming away hard could go making quite commotion pool went,0
48,called softly mouse dear come back wont talk cats dogs either dont like mouse heard turned round swam slowly back face quite pale passion thought said low trembling voice let us get shore ill tell history youll understand hate cats dogs,0
49,high time go pool getting quite crowded birds animals fallen duck dodo lory eaglet several curious creatures led way whole party swam shore,0
50,chapter iii caucus race long tale,0
51,indeed queer looking party assembled bank birds draggled feathers animals fur clinging close dripping wet cross uncomfortable,0
52,first question course get dry minutes seemed quite natural find talking familiarly known life indeed quite long argument lory last turned sulky would say older must know better would allow without knowing old lory positively refused tell age said,0
53,last mouse seemed person authority among called sit listen ill soon make dry enough sat large ring mouse middle kept eyes anxiously fixed felt sure would catch bad cold get dry soon,0
54,said mouse important air ready thing know silence round please william conqueror whose cause favoured pope soon submitted english wanted leaders late much accustomed usurpation conquest edwin morcar earls mercia northumbria,0
55,beg pardon said mouse frowning politely speak,0
56,thought said mouse proceed edwin morcar earls mercia northumbria declared even archbishop canterbury found advisable,0
57,found mouse replied rather course know means,0
58,know means well enough find thing said duck generally frog worm question archbishop find,0
59,mouse notice question hurriedly went found advisable go meet william offer crown conduct first moderate getting dear continued turning spoke,0
60,wet ever said melancholy tone doesnt seem dry,0
61,case said dodo solemnly rising feet move meeting immediate adoption remedies,0
62,speak english said eaglet dont know meaning half long words whats dont believe either eaglet bent head hide smile birds,0
63,going say said dodo offended tone best thing get us dry would caucus race,0
64,caucus race said wanted much know dodo paused thought somebody ought speak one else seemed inclined say anything,0
65,said dodo best way explain might like try thing winter day tell dodo managed,0
66,first marked race course sort circle exact shape doesnt matter said party placed along course one two three away began running liked left liked easy know race however running half hour quite dry dodo suddenly called race crowded round panting asking won,0
67,question dodo could answer without great deal thought sat long time one finger pressed upon forehead position usually see pictures rest waited silence last dodo said everybody won must prizes,0
68,give prizes quite chorus voices asked,0
69,course said dodo pointing one finger whole party crowded round calling confused way prizes prizes,0
70,idea despair put hand pocket pulled box comfits luckily salt water got handed round prizes exactly one piece round,0
71,must prize know said mouse,0
72,course dodo replied gravely else got pocket went turning,0
73,crowded round dodo solemnly presented thimble saying beg elegant thimble finished short speech cheered,0
74,thought whole thing absurd looked grave dare laugh could think anything say simply bowed took thimble looking solemn could,0
75,next thing eat comfits caused noise confusion large birds complained could taste small ones choked patted back however last sat ring begged mouse tell something,0
76,promised tell history know said hate added whisper half afraid would offended,0
77,mine long sad tale said mouse turning sighing,0
78,long tail certainly said looking wonder tail call sad kept puzzling mouse speaking idea tale something like,0
79,fury said mouse met house let us go law come ill take must trial really morning ive nothing said mouse trial dear sir jury judge would wasting breath ill judge ill jury said cunning old fury ill try whole cause death,0
80,attending said mouse severely thinking,0
81,beg pardon said humbly got fifth bend think,0
82,knot said always ready make useful looking anxiously oh let help,0
83,shall nothing sort said mouse getting walking away insult talking nonsense,0
84,didnt mean pleaded poor youre easily offended know,0
85,please come back finish story called others joined chorus yes please mouse shook head impatiently walked little quicker,0
86,pity wouldnt stay sighed lory soon quite sight old crab took opportunity saying daughter ah dear let lesson never lose temper hold tongue ma said young crab little youre enough try patience,0
87,wish dinah know said aloud addressing nobody particular shed soon fetch back,0
88,dinah might venture ask question said lory,0
89,replied eagerly always ready talk pet cat shes capital one catching mice cant think oh wish could see birds shell eat little bird soon look,0
90,speech caused remarkable sensation among party birds hurried one old began wrapping carefully remarking really must getting home night air doesnt suit throat called trembling voice children come away dears high time bed various moved soon left alone,0
91,wish hadnt mentioned dinah said melancholy tone nobody seems like im sure shes best cat world oh dear dinah wonder shall ever see poor began cry felt lonely low little however heard little pattering footsteps distance looked eagerly half hoping mouse changed mind coming back finish story,0
92,chapter iv rabbit sends little bill,0
93,white rabbit trotting slowly back looking anxiously went lost something heard muttering duchess duchess oh dear paws oh fur whiskers shell get executed sure ferrets ferrets dropped wonder guessed moment looking fan pair white kid gloves good naturedly began hunting nowhere seen everything seemed changed since swim pool great hall glass table little door vanished completely,0
94,soon rabbit noticed went hunting called angry tone mary ann run home moment fetch pair gloves fan quick much frightened ran direction pointed without trying explain mistake made,0
95,took said ran surprised hell finds id better take fan gloves find said came upon neat little house door bright brass plate name rabbit engraved upon went without knocking hurried upstairs great fear lest meet real mary ann turned house found fan gloves,0
96,queer seems said going messages rabbit suppose dinahll sending messages next began fancying sort thing would happen miss come directly get ready walk coming minute nurse ive got see mouse doesnt get dont think went theyd let dinah stop house began ordering people like,0
97,time found way tidy little room table window hoped fan two three pairs tiny white kid gloves took fan pair gloves going leave room eye fell upon little bottle stood near looking glass label time words drink nevertheless put lips know something interesting sure happen said whenever eat drink anything ill see bottle hope itll make grow large really im quite tired tiny little thing,0
98,indeed much sooner expected drunk half bottle found head pressing ceiling stoop save neck broken hastily put bottle saying thats quite enough hope shant grow cant get door wish hadnt drunk quite much,0
99,alas late wish went growing growing soon kneel floor another minute even room tried effect lying one elbow door arm curled round head still went growing last put one arm window one foot chimney said whatever happens become,0
100,luckily little magic bottle full effect grew larger still uncomfortable seemed sort chance ever getting room wonder felt unhappy,0
101,much home thought poor one wasnt always growing larger smaller ordered mice rabbits almost wish hadnt gone rabbit hole yet yet rather curious know sort life wonder happened used read fairy tales fancied kind thing never happened middle one ought book written ought grow ill write one im grown added sorrowful tone least theres room grow,0
102,thought shall never get older thatll comfort one way never old woman always lessons learn oh shouldnt like,0
103,oh foolish answered learn lessons theres hardly room room lesson books,0
104,went taking first one side making quite conversation altogether minutes heard voice outside stopped listen,0
105,mary ann mary ann said voice fetch gloves moment came little pattering feet stairs knew rabbit coming look trembled till shook house quite forgetting thousand times large rabbit reason afraid,0
106,presently rabbit came door tried open door opened inwards alices elbow pressed hard attempt proved heard say ill go round get window,0
107,wont thought waiting till fancied heard rabbit window suddenly spread hand made snatch air get hold anything heard little shriek fall crash broken glass concluded possible fallen cucumber frame something sort,0
108,next came angry voice rabbits pat pat voice never heard sure im digging apples yer honour,0
109,digging apples indeed said rabbit angrily come help sounds broken glass,0
110,sure arm yer honour pronounced,0
111,arm goose ever saw one size whole window,0
112,well got business rate go take away,0
113,long silence could hear whispers sure dont like yer honour tell coward last spread hand made another snatch air time two little shrieks sounds broken glass number cucumber frames must thought wonder theyll next pulling window wish could im sure dont want stay longer,0
114,waited time without hearing anything last came rumbling little sound good many voices talking together made words wheres ladder hadnt bring one bills got bill fetch lad put em corner tie em together first dont reach half high enough yet oh theyll well enough dont particular bill catch hold rope roof bear mind loose slate oh coming heads loud crash bill fancy whos go chimney nay shant wont bills go bill master says youre go chimney,0
115,oh bills got come chimney said shy seem put everything upon bill wouldnt bills place good deal fireplace narrow sure think kick little,0
116,drew foot far chimney could waited till heard little animal couldnt guess sort scratching chimney close saying bill gave one sharp kick waited see would happen next,0
117,first thing heard general chorus goes bill rabbits voice along catch hedge silence another confusion voices hold head brandy dont choke old fellow happened tell us,0
118,last came little feeble squeaking voice thats bill thought well hardly know thank ye im better im deal tell know something comes like jack box goes like sky rocket,0
119,must burn house said rabbits voice called loud could ill set dinah,0
120,dead silence instantly thought wonder next sense theyd take roof minute two began moving heard rabbit say barrowful begin,0
121,barrowful thought long doubt next moment shower little pebbles came rattling window hit face ill put stop said shouted youd better produced another dead silence,0
122,noticed surprise pebbles turning little cakes lay floor bright idea came head eat one cakes thought sure make change size cant possibly make larger must make smaller suppose,0
123,swallowed one cakes delighted find began shrinking directly soon small enough get door ran house found quite crowd little animals birds waiting outside poor little lizard bill middle held two guinea pigs giving something bottle made rush moment appeared ran hard could soon found safe thick wood,0
124,first thing ive got said wandered wood grow right size second thing find way lovely garden think best plan,0
125,sounded excellent plan doubt neatly simply arranged difficulty smallest idea set peering anxiously among trees little sharp bark head made look great hurry,0
126,enormous puppy looking large round eyes feebly stretching one paw trying touch poor little thing said coaxing tone tried hard whistle terribly frightened time thought might hungry case would likely eat spite coaxing,0
127,hardly knowing picked little bit stick held puppy whereupon puppy jumped air feet delight rushed stick made believe worry dodged behind great thistle keep run moment appeared side puppy made another rush stick tumbled head heels hurry get hold thinking like game play cart horse expecting every moment trampled feet ran round thistle puppy began series short charges stick running little way forwards time long way back barking hoarsely till last sat good way panting tongue hanging mouth great eyes half shut,0
128,seemed good opportunity making escape set ran till quite tired breath till bark sounded quite faint distance,0
129,yet dear little puppy said leant rest one leaves liked tricks much id right size oh dear id nearly forgotten ive got grow let see managed suppose ought eat drink something great question,0
130,great question certainly looked round flowers blades grass see anything looked like right thing eat drink circumstances large mushroom growing near height looked sides behind occurred might well look see top,0
131,stretched tiptoe peeped edge mushroom eyes immediately met large blue caterpillar sitting top arms folded quietly smoking long hookah taking smallest notice anything else,0
132,caterpillar looked time silence last caterpillar took hookah mouth addressed languid sleepy voice,0
133,encouraging opening conversation replied rather hardly know sir present least know got morning think must changed several times since,0
134,mean said caterpillar sternly explain,0
135,cant explain im afraid sir said im see,0
136,im afraid cant put clearly replied politely cant understand begin many different sizes day confusing,0
137,well perhaps havent found yet said turn chrysalis day know butterfly think youll feel little queer wont,0
138,well perhaps feelings may different said know would feel queer,0
139,brought back beginning conversation felt little irritated making short remarks drew said gravely think ought tell first,0
140,another puzzling question could think good reason caterpillar seemed unpleasant state mind turned away,0
141,come back caterpillar called ive something important say,0
142,sounded promising certainly turned came back,0
143,thought might well wait nothing else perhaps might tell something worth hearing minutes puffed away without speaking last unfolded arms took hookah mouth said think youre changed,0
144,im afraid sir said cant remember things used dont keep size ten minutes together,0
145,cant remember things said caterpillar,0
146,well ive tried say doth little busy came different replied melancholy voice,0
147,repeat old father william said caterpillar,0
148,old father william young man said hair become white yet incessantly stand head think age right,0
149,youth father william replied son feared might brain im perfectly sure none,0
150,old said youth mentioned grown uncommonly fat yet turned back somersault door pray reason,0
151,youth said sage shook grey locks kept limbs use ointment one shilling box allow sell couple,0
152,old said youth jaws weak anything tougher yet finished goose bones beak pray manage,0
153,youth said father took law argued case wife muscular strength gave jaw lasted rest life,0
154,old said youth one would hardly suppose eye steady ever yet balanced eel end nose made awfully clever,0
155,answered three questions enough said father dont give think listen day stuff ill kick stairs,0
156,quite right im afraid said timidly words got altered,0
157,wrong beginning end said caterpillar decidedly silence minutes,0
158,oh im particular size hastily replied one doesnt like changing often know,0
159,said nothing never much contradicted life felt losing temper,0
160,well like little larger sir wouldnt mind said three inches wretched height,0
161,good height indeed said caterpillar angrily rearing upright spoke exactly three inches high,0
162,im used pleaded poor piteous tone thought wish creatures wouldnt easily offended,0
163,youll get used time said caterpillar put hookah mouth began smoking,0
164,time waited patiently chose speak minute two caterpillar took hookah mouth yawned twice shook got mushroom crawled away grass merely remarking went one side make grow taller side make grow shorter,0
165,mushroom said caterpillar asked aloud another moment sight,0
166,remained looking thoughtfully mushroom minute trying make two sides perfectly round found difficult question however last stretched arms round far would go broke bit edge hand,0
167,said nibbled little right hand bit try effect next moment felt violent blow underneath chin struck foot,0
168,good deal frightened sudden change felt time lost shrinking rapidly set work eat bit chin pressed closely foot hardly room open mouth last managed swallow morsel lefthand bit,0
169,come heads free last said tone delight changed alarm another moment found shoulders nowhere found could see looked immense length neck seemed rise like stalk sea green leaves lay far,0
170,green stuff said shoulders got oh poor hands cant see moving spoke result seemed follow except little shaking among distant green leaves,0
171,seemed chance getting hands head tried get head delighted find neck would bend easily direction like serpent succeeded curving graceful zigzag going dive among leaves found nothing tops trees wandering sharp hiss made draw back hurry large pigeon flown face beating violently wings,0
172,im serpent said indignantly let alone,0
173,serpent say repeated pigeon subdued tone added kind sob ive tried every way nothing seems suit,0
174,havent least idea youre talking said,0
175,ive tried roots trees ive tried banks ive tried pigeon went without attending serpents theres pleasing,0
176,puzzled thought use saying anything till pigeon finished,0
177,wasnt trouble enough eggs said pigeon must look serpents night day havent wink sleep three weeks,0
178,im sorry youve annoyed said beginning see meaning,0
179,id taken highest tree wood continued pigeon raising voice shriek thinking free last must needs come wriggling sky serpent,0
180,im serpent tell said im im,0
181,well said pigeon see youre trying invent something,0
182,im little girl said rather doubtfully remembered number changes gone day,0
183,likely story indeed said pigeon tone deepest contempt ive seen good many little girls time never one neck youre serpent theres use denying suppose youll telling next never tasted egg,0
184,tasted eggs certainly said truthful child little girls eat eggs quite much serpents know,0
185,dont believe said pigeon theyre kind serpent thats say,0
186,new idea quite silent minute two gave pigeon opportunity adding youre looking eggs know well enough matter whether youre little girl serpent,0
187,matters good deal said hastily im looking eggs happens shouldnt want dont like raw,0
188,well said pigeon sulky tone settled nest among trees well could neck kept getting entangled among branches every stop remembered still held pieces mushroom hands set work carefully nibbling first one growing sometimes taller sometimes shorter succeeded bringing usual height,0
189,long since anything near right size felt quite strange first got used minutes began talking usual come theres half plan done puzzling changes im never sure im going one minute another however ive got back right size next thing get beautiful garden done wonder said came suddenly upon open place little house four feet high whoever lives thought itll never come upon size frighten wits began nibbling bit venture go near house till brought nine inches high,0
190,minute two stood looking house wondering next suddenly footman livery came running wood considered footman livery otherwise judging face would called fish rapped loudly door knuckles opened another footman livery round face large eyes like frog noticed powdered hair curled heads felt curious know crept little way wood listen,0
191,fish footman began producing arm great letter nearly large handed saying solemn tone duchess invitation queen play croquet frog footman repeated solemn tone changing order words little queen invitation duchess play croquet,0
192,bowed low curls got entangled together,0
193,laughed much run back wood fear hearing next peeped fish footman gone sitting ground near door staring stupidly sky,0
194,theres sort use knocking said footman two reasons first im side door secondly theyre making noise inside one could possibly hear certainly extraordinary noise going within constant howling sneezing every great crash dish broken pieces,0
195,might sense knocking footman went without attending door us instance inside might knock could let know looking sky time speaking thought decidedly perhaps cant help said eyes nearly top head rate might answer questions get repeated aloud,0
196,shall sit footman remarked till,0
197,moment door house opened large plate came skimming straight head grazed nose broke pieces one trees behind,0
198,next day maybe footman continued tone exactly nothing happened,0
199,get said footman thats first question know,0
200,doubt like told really dreadful muttered way creatures argue enough drive one crazy,0
201,footman seemed think good opportunity repeating remark shall sit said days days,0
202,anything like said footman began whistling,0
203,oh theres use talking said hes perfectly idiotic opened door went,0
204,door led right large kitchen full smoke one end duchess sitting three legged stool middle nursing baby cook leaning fire stirring large cauldron seemed full soup,0
205,theres certainly much pepper soup said well could sneezing,0
206,certainly much air even duchess occasionally baby sneezing howling alternately without moments pause things kitchen sneeze cook large cat sitting hearth grinning ear ear,0
207,please would tell said little timidly quite sure whether good manners speak first cat like,0
208,cheshire cat said duchess thats pig,0
209,said last word sudden violence quite jumped saw another moment addressed baby took courage went,0
210,didnt know cheshire cats always grinned fact didnt know cats could grin,0
211,dont know said politely feeling quite pleased got conversation,0
212,dont know much said duchess thats fact,0
213,like tone remark thought would well introduce subject conversation trying fix one cook took cauldron soup fire set work throwing everything within reach duchess baby fire irons came first followed shower plates dishes duchess took notice even hit baby howling much already quite impossible say whether blows hurt,0
214,oh please mind youre cried jumping agony terror oh goes precious nose unusually large flew close nearly carried,0
215,everybody minded business duchess said hoarse growl world would go round deal faster,0
216,would advantage said felt glad get opportunity showing little knowledge think work would make day night see earth takes twenty four hours turn round axis,0
217,talking axes said duchess chop head,0
218,glanced rather anxiously cook see meant take hint cook busily stirring soup seemed listening went twenty four hours think twelve,0
219,oh dont said duchess never could abide figures began nursing child singing sort lullaby giving violent shake end every line,0
220,speak roughly little boy beat sneezes annoy knows,0
221,duchess sang second verse song kept tossing baby violently poor little thing howled could hardly hear words,0
222,speak severely boy beat sneezes thoroughly enjoy pepper pleases,0
223,may nurse bit like duchess said flinging baby spoke must go get ready play croquet queen hurried room cook threw pan went missed,0
224,caught baby difficulty queer shaped little creature held arms legs directions like star fish thought poor little thing snorting like steam engine caught kept doubling altogether first minute two much could hold,0
225,soon made proper way nursing twist sort knot keep tight hold right ear left foot prevent undoing carried open air dont take child away thought theyre sure kill day two wouldnt murder leave behind said last words loud little thing grunted reply left sneezing time dont grunt said thats proper way expressing,0
226,baby grunted looked anxiously face see matter could doubt turn nose much like real nose also eyes getting extremely small baby altogether like look thing perhaps sobbing thought looked eyes see tears,0
227,tears youre going turn pig dear said seriously ill nothing mind poor little thing sobbed grunted impossible say went silence,0
228,beginning think creature get home grunted violently looked face alarm time could mistake neither less pig felt would quite absurd carry,0
229,set little creature felt quite relieved see trot away quietly wood grown said would made dreadfully ugly child makes rather handsome pig think began thinking children knew might well pigs saying one knew right way change little startled seeing cheshire cat sitting bough tree yards,0
230,cat grinned saw looked good natured thought still long claws great many teeth felt ought treated respect,0
231,cheshire puss began rather timidly know whether would like name however grinned little come pleased far thought went would tell please way ought go,0
232,depends good deal want get said cat,0
233,doesnt matter way go said cat,0
234,long get somewhere added explanation,0
235,oh youre sure said cat walk long enough,0
236,felt could denied tried another question sort people live,0
237,direction cat said waving right paw round lives hatter direction waving paw lives march hare visit either like theyre mad,0
238,dont want go among mad people remarked,0
239,oh cant help said cat mad im mad youre mad,0
240,must said cat wouldnt come,0
241,didnt think proved however went know youre mad,0
242,begin said cat dogs mad grant,0
243,well cat went see dog angry tail pleased growl im pleased wag tail im angry therefore im mad,0
244,call like said cat play croquet queen day,0
245,like much said havent invited yet,0
246,youll see said cat vanished,0
247,much surprised getting used queer things happening looking place suddenly appeared,0
248,bye became baby said cat id nearly forgotten ask,0
249,turned pig quietly said come back natural way,0
250,thought would said cat vanished,0
251,waited little half expecting see appear minute two walked direction march hare said live ive seen hatters said march hare much interesting perhaps may wont raving mad least mad march said looked cat sitting branch tree,0
252,said pig replied wish wouldnt keep appearing suddenly make one quite giddy,0
253,right said cat time vanished quite slowly beginning end tail ending grin remained time rest gone,0
254,well ive often seen cat without grin thought grin without cat curious thing ever saw life,0
255,gone much farther came sight house march hare thought must right house chimneys shaped like ears roof fur large house like go nearer till nibbled lefthand bit mushroom raised two feet high even walked towards rather timidly saying suppose raving mad almost wish id gone see hatter instead,0
256,table set tree front house march hare hatter tea dormouse sitting fast asleep two using cushion resting talking head uncomfortable dormouse thought asleep suppose doesnt mind,0
257,table large one three crowded together one corner room room cried saw coming theres plenty room said indignantly sat large arm chair one end table,0
258,wine march hare said encouraging tone,0
259,looked round table nothing tea dont see wine remarked,0
260,wasnt civil offer said angrily,0
261,wasnt civil sit without invited said march hare,0
262,didnt know table said laid great many three,0
263,hair wants cutting said hatter looking time great curiosity first speech,0
264,learn make personal remarks said rude,0
265,hatter opened eyes wide hearing said like writing desk,0
266,come shall fun thought im glad theyve begun asking riddles believe guess added aloud,0
267,mean think find answer said march hare,0
268,say mean march hare went,0
269,hastily replied least least mean say thats thing know,0
270,thing bit said hatter might well say see eat thing eat see,0
271,might well say added march hare like get thing get like,0
272,might well say added dormouse seemed talking sleep breathe sleep thing sleep breathe,0
273,thing said hatter conversation dropped party sat silent minute thought could remember ravens writing desks wasnt much,0
274,hatter first break silence day month said turning taken watch pocket looking uneasily shaking every holding ear,0
275,two days wrong sighed hatter told butter wouldnt suit works added looking angrily march hare,0
276,best butter march hare meekly replied,0
277,yes crumbs must got well hatter shouldnt put bread knife,0
278,march hare took watch looked gloomily dipped cup tea looked could think nothing better say first remark best butter know,0
279,looking shoulder curiosity funny watch remarked tells day month doesnt tell oclock,0
280,muttered hatter watch tell year,0
281,course replied readily thats stays year long time together,0
282,felt dreadfully puzzled hatters remark seemed sort meaning yet certainly english dont quite understand said politely could,0
283,dormouse asleep said hatter poured little hot tea upon nose,0
284,dormouse shook head impatiently said without opening eyes course course going remark,0
285,guessed riddle yet hatter said turning,0
286,havent slightest idea said hatter,0
287,sighed wearily think might something better time said waste asking riddles answers,0
288,knew time well said hatter wouldnt talk wasting,0
289,course dont hatter said tossing head contemptuously dare say never even spoke time,0
290,perhaps cautiously replied know beat time learn music,0
291,ah accounts said hatter wont stand beating kept good terms hed almost anything liked clock instance suppose nine oclock morning time begin lessons youd whisper hint time round goes clock twinkling half past one time dinner,0
292,wish march hare said whisper,0
293,would grand certainly said thoughtfully shouldnt hungry know,0
294,first perhaps said hatter could keep half past one long liked,0
295,hatter shook head mournfully replied last march went mad know pointing tea spoon march hare great concert given queen hearts sing,0
296,twinkle twinkle little bat wonder youre,0
297,ive heard something like said,0
298,goes know hatter continued way,0
299,world fly like tea tray sky twinkle twinkle,0
300,dormouse shook began singing sleep twinkle twinkle twinkle twinkle went long pinch make stop,0
301,well id hardly finished first verse said hatter queen jumped bawled hes murdering time head,0
302,ever since hatter went mournful tone wont thing ask always six oclock,0
303,bright idea came alices head reason many tea things put asked,0
304,yes thats said hatter sigh always tea time weve time wash things,0
305,keep moving round suppose said,0
306,exactly said hatter things get used,0
307,happens come beginning ventured ask,0
308,suppose change subject march hare interrupted yawning im getting tired young lady tells us story,0
309,im afraid dont know one said rather alarmed,0
